provider,scope,geographic_resolution,location,country,period,water_flow,value,reported_unit,value_liters,value_qualifier,caveat,source_report_id,source_url,report_year
Google (Alphabet Inc.),Google data-centre location (2024),site,"Eemshaven, Netherlands",NL,2024,withdrawal,416.9,million US gal,1578138172.7496,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Eemshaven, Netherlands",NL,2024,discharge,86.9,million US gal,328952284.02959996,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Eemshaven, Netherlands",NL,2024,consumption,330.0,million US gal,1249185888.72,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Eemshaven, Netherlands",NL,2025,withdrawal,532.2,million US gal,2014596151.4448001,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Eemshaven, Netherlands",NL,2025,discharge,126.5,million US gal,478854590.676,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Eemshaven, Netherlands",NL,2025,consumption,405.7,million US gal,1535741560.7688,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Frankfurt, Germany",DE,2024,withdrawal,2.3,million US gal,8706447.1032,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Frankfurt, Germany",DE,2024,discharge,1.8,million US gal,6813741.2112,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Frankfurt, Germany",DE,2024,consumption,0.5,million US gal,1892705.892,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2025),site,"Frankfurt, Germany",DE,2025,withdrawal,1.2,million US gal,4542494.1408,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Frankfurt, Germany",DE,2025,discharge,1.0,million US gal,3785411.784,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2025),site,"Frankfurt, Germany",DE,2025,consumption,0.2,million US gal,757082.3568,exact,,google_environmental_report_2026,https://sustainability.google/reports/google-2026-environmental-report/,2026
Google (Alphabet Inc.),Google data-centre location (2024),site,"Fredericia, Denmark",DK,2024,withdrawal,48.4,million US gal,183213930.3456,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Fredericia, Denmark",DK,2024,discharge,10.6,million US gal,40125364.910399996,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
Google (Alphabet Inc.),Google data-centre location (2024),site,"Fredericia, Denmark",DK,2024,consumption,37.8,million US gal,143088565.4352,exact,,google_environmental_report_2025,https://sustainability.google/reports/google-2025-environmental-report/,2025
